"","team_id","ownCarries","againstCarries","ownYards","againstYards","ownYPC","againstYPC"
"77","Seattle Seahawks 2009",395,428,1566,1776,3.96455696202532,4.14953271028037
"78","Green Bay Packers 2009",458,394,1974,1489,4.31004366812227,3.77918781725888
"79","New England Patriots 2009",484,450,1985,2002,4.10123966942149,4.44888888888889
"80","Oakland Raiders 2009",411,548,1701,2488,4.13868613138686,4.54014598540146
"81","Kansas City Chiefs 2009",437,531,1936,2504,4.43020594965675,4.71563088512241
"82","New York Jets 2009",716,484,3182,1911,4.44413407821229,3.94834710743802
"83","Washington Redskins 2009",391,449,1510,1799,3.8618925831202,4.00668151447661
"84","Jacksonville Jaguars 2009",447,458,2029,1863,4.53914988814318,4.06768558951965
"85","Detroit Lions 2009",409,458,1616,2025,3.95110024449878,4.42139737991266
"86","Tennessee Titans 2009",499,402,2592,1711,5.19438877755511,4.25621890547264
"87","Philadelphia Eagles 2009",396,448,1694,1873,4.27777777777778,4.18080357142857
"88","San Francisco 49ers 2009",371,426,1600,1552,4.31266846361186,3.64319248826291
"89","Buffalo Bills 2009",424,534,1867,2508,4.40330188679245,4.69662921348315
"90","Denver Broncos 2009",440,458,1836,2059,4.17272727272727,4.49563318777293
"91","San Diego Chargers 2009",445,461,1484,2053,3.33483146067416,4.45336225596529
"92","Chicago Bears 2009",373,467,1492,2022,4,4.32976445396146
"93","Dallas Cowboys 2009",496,410,2393,1614,4.82459677419355,3.93658536585366
"94","Miami Dolphins 2009",509,435,2231,1835,4.38310412573674,4.2183908045977
"95","St. Louis Rams 2009",411,500,1784,2201,4.34063260340633,4.402
"96","Minnesota Vikings 2009",536,405,2192,1554,4.08955223880597,3.83703703703704
"97","New Orleans Saints 2010",402,445,1596,1947,3.97014925373134,4.3752808988764
"98","Tampa Bay Buccaneers 2010",431,444,2001,2107,4.64269141531322,4.7454954954955
"99","Houston Texans 2010",423,433,2042,1751,4.8274231678487,4.04387990762125
"100","New England Patriots 2010",482,438,2086,1848,4.32780082987552,4.21917808219178
"101","Buffalo Bills 2010",401,571,1720,2714,4.28927680798005,4.75306479859895
"102","Tennessee Titans 2010",406,474,1727,1851,4.25369458128079,3.90506329113924
"103","Pittsburgh Steelers 2010",568,386,2287,1159,4.02640845070423,3.00259067357513
"104","Chicago Bears 2010",483,430,1875,1595,3.88198757763975,3.7093023255814
"105","Jacksonville Jaguars 2010",512,416,2395,1945,4.677734375,4.67548076923077
"106","New York Giants 2010",480,389,2200,1620,4.58333333333333,4.16452442159383
"107","St. Louis Rams 2010",429,404,1578,1810,3.67832167832168,4.48019801980198
"108","Seattle Seahawks 2010",421,519,1608,2156,3.81947743467933,4.15414258188825
"109","Philadelphia Eagles 2010",449,455,2405,1904,5.35634743875278,4.18461538461538
"110","Washington Redskins 2010",351,444,1461,2041,4.16239316239316,4.59684684684685
"111","New York Jets 2010",623,506,2733,1826,4.3868378812199,3.60869565217391
"112","Kansas City Chiefs 2010",575,448,2735,1906,4.75652173913043,4.25446428571429
"113","Detroit Lions 2010",404,443,1613,1999,3.99257425742574,4.51241534988713
"114","Cleveland Browns 2010",413,505,1646,2070,3.98547215496368,4.0990099009901
"115","Cincinnati Bengals 2010",428,416,1522,1843,3.55607476635514,4.43028846153846
"116","Green Bay Packers 2010",529,477,2010,2173,3.79962192816635,4.55555555555556
"117","Carolina Panthers 2010",428,503,1846,1981,4.31308411214953,3.93836978131213
"118","Atlanta Falcons 2010",511,397,1936,1790,3.78864970645793,4.5088161209068
"119","Dallas Cowboys 2010",428,402,1786,1734,4.17289719626168,4.3134328358209
"120","Minnesota Vikings 2010",441,417,1942,1635,4.40362811791383,3.92086330935252
"121","Oakland Raiders 2010",504,474,2494,2138,4.9484126984127,4.51054852320675
"122","Denver Broncos 2010",398,531,1544,2473,3.87939698492462,4.65725047080979
"123","San Diego Chargers 2010",457,404,1810,1500,3.96061269146608,3.71287128712871
"124","Indianapolis Colts 2010",420,483,1576,2201,3.75238095238095,4.55693581780538
"125","San Francisco 49ers 2010",401,447,1657,1547,4.13216957605985,3.46085011185682
"126","Baltimore Ravens 2010",545,434,2008,1682,3.68440366972477,3.87557603686636
"127","Arizona Cardinals 2010",320,526,1388,2323,4.3375,4.41634980988593
"128","Miami Dolphins 2010",445,447,1643,1601,3.69213483146067,3.58165548098434
"129","Green Bay Packers 2011",418,410,1705,1884,4.07894736842105,4.59512195121951
"130","St. Louis Rams 2011",409,510,1667,2433,4.07579462102689,4.77058823529412
"131","Houston Texans 2011",609,428,2767,1699,4.54351395730706,3.9696261682243
"132","Jacksonville Jaguars 2011",489,435,1970,1667,4.02862985685072,3.83218390804598
"133","Baltimore Ravens 2011",521,478,2199,1709,4.22072936660269,3.57531380753138
"134","Tampa Bay Buccaneers 2011",346,498,1458,2497,4.21387283236994,5.0140562248996
"135","Kansas City Chiefs 2011",487,508,1893,2112,3.8870636550308,4.15748031496063
"136","Chicago Bears 2011",456,384,2015,1542,4.41885964912281,4.015625
"137","Cleveland Browns 2011",415,534,1531,2359,3.68915662650602,4.41760299625468
"138","Arizona Cardinals 2011",389,475,1625,1986,4.17737789203085,4.18105263157895
"139","San Diego Chargers 2011",436,448,1864,1955,4.27522935779816,4.36383928571429
"140","San Francisco 49ers 2011",548,393,2337,1358,4.26459854014599,3.45547073791349
"141","Washington Redskins 2011",400,438,1614,1884,4.035,4.3013698630137
"142","New York Jets 2011",443,451,1692,1777,3.81941309255079,3.94013303769401
"143","Miami Dolphins 2011",469,412,1987,1530,4.23667377398721,3.71359223300971
"144","Denver Broncos 2011",620,541,2907,2323,4.68870967741935,4.29390018484288
"145","Pittsburgh Steelers 2011",457,433,2059,1728,4.5054704595186,3.99076212471132
"146","Carolina Panthers 2011",445,451,2408,2093,5.41123595505618,4.64079822616408
"147","Indianapolis Colts 2011",382,540,1594,2303,4.17277486910995,4.26481481481482
"148","Tennessee Titans 2011",376,461,1438,2053,3.82446808510638,4.45336225596529
"149","Detroit Lions 2011",366,446,1555,2217,4.24863387978142,4.97085201793722
"150","New Orleans Saints 2011",481,383,2331,1913,4.84615384615385,4.99477806788512
"151","Buffalo Bills 2011",391,467,1921,2224,4.91304347826087,4.76231263383298
"152","Minnesota Vikings 2011",448,439,2318,1712,5.17410714285714,3.8997722095672
"153","New England Patriots 2011",527,495,2120,2217,4.02277039848197,4.47878787878788
"154","Atlanta Falcons 2011",474,403,1898,1724,4.0042194092827,4.27791563275434
"155","New York Giants 2011",514,535,1862,2415,3.62256809338521,4.51401869158879
"156","Cincinnati Bengals 2011",474,460,1854,1863,3.91139240506329,4.05
"157","Philadelphia Eagles 2011",450,414,2276,1801,5.05777777777778,4.35024154589372
"158","Oakland Raiders 2011",466,430,2110,2178,4.52789699570815,5.06511627906977
"159","Seattle Seahawks 2011",444,473,1756,1797,3.95495495495495,3.79915433403806
"160","Dallas Cowboys 2011",408,385,1807,1585,4.42892156862745,4.11688311688312
"161","New York Giants 2012",409,449,1862,2066,4.55256723716381,4.60133630289532
"162","Chicago Bears 2012",470,388,1970,1627,4.19148936170213,4.19329896907217
"163","Houston Texans 2012",570,430,2372,1762,4.16140350877193,4.09767441860465
"164","Kansas City Chiefs 2012",500,482,2395,2171,4.79,4.50414937759336
"165","New York Jets 2012",494,495,1896,2138,3.83805668016194,4.31919191919192
"166","New Orleans Saints 2012",370,457,1577,2361,4.26216216216216,5.16630196936543
"167","Tennessee Titans 2012",378,483,1687,2035,4.46296296296296,4.21325051759834
"168","Detroit Lions 2012",391,420,1613,1889,4.12531969309463,4.49761904761905
"169","Cleveland Browns 2012",396,457,1593,1898,4.02272727272727,4.15317286652079
"170","Minnesota Vikings 2012",515,458,2801,1768,5.43883495145631,3.86026200873362
"171","Green Bay Packers 2012",480,490,1882,2386,3.92083333333333,4.86938775510204
"172","Arizona Cardinals 2012",352,506,1204,2192,3.42045454545455,4.33201581027668
"173","Tampa Bay Buccaneers 2012",416,377,1837,1320,4.41586538461539,3.50132625994695
"174","Denver Broncos 2012",522,443,1957,1613,3.74904214559387,3.6410835214447
"175","Baltimore Ravens 2012",583,620,2440,2532,4.1852487135506,4.08387096774194
"176","Oakland Raiders 2012",376,444,1420,1897,3.77659574468085,4.27252252252252
"177","Miami Dolphins 2012",440,431,1802,1734,4.09545454545455,4.02320185614849
"178","Cincinnati Bengals 2012",446,462,1825,1873,4.09192825112108,4.05411255411255
"179","Buffalo Bills 2012",442,470,2217,2333,5.0158371040724,4.96382978723404
"180","New England Patriots 2012",575,471,2414,1842,4.19826086956522,3.91082802547771
"181","Carolina Panthers 2012",462,416,2088,1761,4.51948051948052,4.23317307692308
"182","Indianapolis Colts 2012",470,460,1823,2370,3.87872340425532,5.15217391304348
"183","Philadelphia Eagles 2012",413,479,1874,2021,4.53753026634383,4.21920668058455
"184","Jacksonville Jaguars 2012",358,545,1369,2256,3.82402234636872,4.1394495412844
"185","St. Louis Rams 2012",410,442,1714,1880,4.18048780487805,4.25339366515837
"186","Seattle Seahawks 2012",601,417,2926,1920,4.86855241264559,4.60431654676259
"187","San Diego Chargers 2012",411,406,1461,1542,3.55474452554745,3.79802955665025
"188","Pittsburgh Steelers 2012",412,391,1537,1450,3.73058252427184,3.70843989769821
"189","San Francisco 49ers 2012",593,481,3145,1785,5.3035413153457,3.71101871101871
"190","Atlanta Falcons 2012",427,468,1645,2243,3.85245901639344,4.79273504273504
"191","Washington Redskins 2012",542,400,2813,1756,5.190036900369,4.39
"192","Dallas Cowboys 2012",355,441,1265,2003,3.56338028169014,4.54195011337869
"193","Denver Broncos 2013",552,468,2248,1782,4.07246376811594,3.80769230769231
"194","Chicago Bears 2013",404,483,1828,2583,4.52475247524752,5.34782608695652
"195","Indianapolis Colts 2013",449,526,1912,2386,4.25835189309577,4.5361216730038
"196","Pittsburgh Steelers 2013",394,433,1383,1849,3.51015228426396,4.270207852194
"197","Detroit Lions 2013",445,377,1792,1596,4.02696629213483,4.23342175066313
"198","Cleveland Browns 2013",348,462,1383,1781,3.97413793103448,3.85497835497836
"199","Buffalo Bills 2013",546,471,2307,2063,4.22527472527473,4.38004246284501
"200","Jacksonville Jaguars 2013",378,507,1260,2108,3.33333333333333,4.1577909270217
"201","New Orleans Saints 2013",453,444,1766,2040,3.89845474613687,4.59459459459459
"202","New York Jets 2013",493,421,2158,1412,4.37728194726166,3.35391923990499
"203","Carolina Panthers 2013",507,386,2119,1517,4.17948717948718,3.9300518134715
"204","St. Louis Rams 2013",426,440,1752,1646,4.11267605633803,3.74090909090909
"205","San Francisco 49ers 2013",597,481,2655,1867,4.44723618090452,3.88149688149688
"206","Dallas Cowboys 2013",336,437,1504,2056,4.47619047619048,4.70480549199085
"207","Washington Redskins 2013",453,443,2164,1769,4.77704194260486,3.99322799097065
"208","San Diego Chargers 2013",544,435,2226,1971,4.09191176470588,4.53103448275862
"209","New England Patriots 2013",532,530,2363,2321,4.44172932330827,4.37924528301887
"210","Baltimore Ravens 2013",423,440,1328,1687,3.13947990543735,3.83409090909091
"211","Philadelphia Eagles 2013",522,479,2646,1853,5.06896551724138,3.86847599164927
"212","Green Bay Packers 2013",490,462,2260,2167,4.61224489795918,4.69047619047619
"213","Kansas City Chiefs 2013",474,447,2206,2023,4.65400843881857,4.52572706935123
"214","Houston Texans 2013",414,454,1743,1958,4.21014492753623,4.31277533039648
"215","Atlanta Falcons 2013",321,455,1247,2173,3.88473520249221,4.77582417582418
"216","Tampa Bay Buccaneers 2013",420,438,1612,1762,3.83809523809524,4.02283105022831
"217","Arizona Cardinals 2013",422,370,1540,1351,3.64928909952607,3.65135135135135
"218","New York Giants 2013",381,454,1332,1743,3.49606299212598,3.83920704845815
"219","Oakland Raiders 2013",437,442,2000,1727,4.5766590389016,3.90723981900452
"220","Seattle Seahawks 2013",587,505,2504,2030,4.26575809199319,4.01980198019802
"221","Cincinnati Bengals 2013",506,425,1868,1740,3.69169960474308,4.09411764705882
"222","Tennessee Titans 2013",462,446,1894,1795,4.0995670995671,4.02466367713004
"223","Minnesota Vikings 2013",423,443,2081,1767,4.91962174940898,3.98871331828442
"224","Miami Dolphins 2013",349,484,1440,1998,4.12607449856733,4.12809917355372
"225","Seattle Seahawks 2014",617,461,3218,1628,5.21555915721232,3.53145336225597
"226","St. Louis Rams 2014",395,425,1635,1765,4.13924050632911,4.15294117647059
"227","Chicago Bears 2014",355,421,1441,1803,4.05915492957747,4.28266033254157
"228","Kansas City Chiefs 2014",420,433,1918,2036,4.56666666666667,4.70207852193995
"229","Baltimore Ravens 2014",501,422,2208,1494,4.40718562874252,3.54028436018957
"230","Philadelphia Eagles 2014",474,473,1992,1771,4.20253164556962,3.74418604651163
"231","Pittsburgh Steelers 2014",442,393,1820,1658,4.11764705882353,4.21882951653944
"232","New York Jets 2014",507,393,2280,1489,4.49704142011834,3.78880407124682
"233","Atlanta Falcons 2014",372,450,1498,1894,4.02688172043011,4.20888888888889
"234","Miami Dolphins 2014",399,453,1872,1937,4.69172932330827,4.27593818984547
"235","Houston Texans 2014",551,420,2161,1681,3.92196007259528,4.00238095238095
"236","Tampa Bay Buccaneers 2014",353,468,1375,1819,3.89518413597734,3.88675213675214
"237","Dallas Cowboys 2014",557,443,2572,1859,4.61759425493716,4.19638826185102
"238","Denver Broncos 2014",463,377,1873,1375,4.04535637149028,3.64721485411141
"239","Detroit Lions 2014",418,371,1512,1182,3.61722488038277,3.18598382749326
"240","Arizona Cardinals 2014",412,437,1335,1927,3.24029126213592,4.40961098398169
"241","Buffalo Bills 2014",402,414,1482,1703,3.6865671641791,4.11352657004831
"242","Cleveland Browns 2014",477,500,1728,2265,3.62264150943396,4.53
"243","Tennessee Titans 2014",356,515,1447,2195,4.06460674157303,4.2621359223301
"244","New York Giants 2014",449,438,1603,2162,3.57015590200445,4.93607305936073
"245","Carolina Panthers 2014",544,440,2356,1919,4.33088235294118,4.36136363636364
"246","Minnesota Vikings 2014",413,450,1804,1943,4.3680387409201,4.31777777777778
"247","Cincinnati Bengals 2014",513,464,2257,1975,4.39961013645224,4.25646551724138
"248","Washington Redskins 2014",401,421,1691,1722,4.21695760598504,4.09026128266033
"249","San Diego Chargers 2014",398,438,1367,1986,3.43467336683417,4.53424657534247
"250","Oakland Raiders 2014",337,481,1240,1911,3.67952522255193,3.97297297297297
"251","Green Bay Packers 2014",494,512,2171,2258,4.39473684210526,4.41015625
"252","San Francisco 49ers 2014",470,402,2176,1612,4.62978723404255,4.00995024875622
"253","Indianapolis Colts 2014",487,504,1908,2189,3.91786447638604,4.34325396825397
"254","Jacksonville Jaguars 2014",360,499,1633,2033,4.53611111111111,4.07414829659319
"255","New England Patriots 2014",512,495,1975,2050,3.857421875,4.14141414141414
"256","New Orleans Saints 2014",406,442,1818,2125,4.47783251231527,4.80769230769231
"257","New England Patriots 2015",414,459,1486,1814,3.58937198067633,3.9520697167756
"258","Chicago Bears 2015",468,433,1854,1934,3.96153846153846,4.46651270207852
"259","St. Louis Rams 2015",429,453,1956,1820,4.55944055944056,4.01766004415011
"260","Washington Redskins 2015",447,438,1650,2103,3.69127516778523,4.8013698630137
"261","Houston Texans 2015",497,425,1845,1738,3.71227364185111,4.08941176470588
"262","Jacksonville Jaguars 2015",354,464,1473,1709,4.16101694915254,3.68318965517241
"263","Buffalo Bills 2015",509,394,2432,1730,4.77799607072692,4.39086294416244
"264","New York Jets 2015",448,373,1868,1335,4.16964285714286,3.57908847184987
"265","San Diego Chargers 2015",393,417,1358,2005,3.45547073791349,4.80815347721823
"266","Arizona Cardinals 2015",487,432,2017,1747,4.14168377823409,4.04398148148148
"267","Denver Broncos 2015",501,472,2044,1556,4.07984031936128,3.29661016949153
"268","Tampa Bay Buccaneers 2015",455,466,2162,1606,4.75164835164835,3.44635193133047
"269","Oakland Raiders 2015",370,406,1457,1678,3.93783783783784,4.13300492610837
"270","Dallas Cowboys 2015",408,461,1890,1934,4.63235294117647,4.19522776572668
"271","Atlanta Falcons 2015",420,416,1606,1680,3.82380952380952,4.03846153846154
"272","San Francisco 49ers 2015",390,504,1544,2020,3.95897435897436,4.00793650793651
"273","Kansas City Chiefs 2015",505,422,2320,1723,4.59405940594059,4.08293838862559
"274","Pittsburgh Steelers 2015",436,439,1976,1659,4.53211009174312,3.77904328018223
"275","Cleveland Browns 2015",380,458,1529,2055,4.02368421052632,4.48689956331878
"276","New York Giants 2015",403,444,1609,1942,3.99255583126551,4.37387387387387
"277","Carolina Panthers 2015",632,419,2668,1671,4.22151898734177,3.98806682577566
"278","New Orleans Saints 2015",397,421,1491,2071,3.75566750629723,4.91923990498812
"279","Cincinnati Bengals 2015",491,373,1896,1644,3.86150712830957,4.40750670241287
"280","Minnesota Vikings 2015",503,439,2269,1845,4.51093439363817,4.20273348519362
"281","Philadelphia Eagles 2015",442,478,1743,2153,3.94343891402715,4.50418410041841
"282","Green Bay Packers 2015",490,457,2126,2029,4.33877551020408,4.4398249452954
"283","Indianapolis Colts 2015",396,452,1438,1952,3.63131313131313,4.31858407079646
"284","Baltimore Ravens 2015",383,418,1478,1661,3.85900783289817,3.97368421052632
"285","Tennessee Titans 2015",371,462,1485,1797,4.00269541778976,3.88961038961039
"286","Miami Dolphins 2015",344,502,1496,2019,4.34883720930233,4.02191235059761
"287","Seattle Seahawks 2015",540,432,2443,1506,4.52407407407407,3.48611111111111
"288","Detroit Lions 2015",354,428,1335,1808,3.77118644067797,4.22429906542056
"289","Denver Broncos 2016",410,482,1484,2085,3.61951219512195,4.32572614107884
"290","Jacksonville Jaguars 2016",392,446,1631,1703,4.16071428571429,3.81838565022422
"291","Baltimore Ravens 2016",367,384,1463,1430,3.98637602179837,3.72395833333333
"292","Houston Texans 2016",523,445,2087,1757,3.99043977055449,3.94831460674157
"293","Kansas City Chiefs 2016",426,471,1809,2109,4.24647887323944,4.47770700636943
"294","Atlanta Falcons 2016",505,426,2232,1976,4.41980198019802,4.63849765258216
"295","Tennessee Titans 2016",476,356,2187,1413,4.59453781512605,3.96910112359551
"296","New Orleans Saints 2016",404,396,1742,1626,4.31188118811881,4.10606060606061
"297","New York Jets 2016",418,428,1802,1581,4.311004784689,3.69392523364486
"298","Philadelphia Eagles 2016",438,391,1813,1652,4.13926940639269,4.22506393861893
"299","Seattle Seahawks 2016",462,485,1869,1635,4.04545454545455,3.37113402061856
"300","Dallas Cowboys 2016",523,357,2534,1423,4.84512428298279,3.9859943977591
"301","Indianapolis Colts 2016",409,409,1628,1926,3.98044009779951,4.70904645476773
"302","Arizona Cardinals 2016",399,424,1732,1518,4.34085213032581,3.58018867924528
"303","Washington Redskins 2016",379,423,1696,1916,4.47493403693931,4.52955082742317
"304","San Francisco 49ers 2016",458,548,2019,2654,4.40829694323144,4.84306569343066
"305","Buffalo Bills 2016",492,469,2630,2130,5.34552845528455,4.54157782515991
"306","Pittsburgh Steelers 2016",498,431,2164,1770,4.34538152610442,4.10672853828306
"307","Cleveland Browns 2016",350,498,1712,2283,4.89142857142857,4.58433734939759
"308","New England Patriots 2016",554,436,2131,1680,3.84657039711191,3.85321100917431
"309","Detroit Lions 2016",365,427,1359,1878,3.72328767123288,4.39812646370023
"310","Carolina Panthers 2016",453,376,1814,1465,4.00441501103753,3.89627659574468
"311","New York Giants 2016",415,422,1482,1492,3.5710843373494,3.53554502369668
"312","Los Angeles Rams 2016",375,424,1252,1660,3.33866666666667,3.91509433962264
"313","San Diego Chargers 2016",398,410,1510,1567,3.79396984924623,3.82195121951219
"314","Oakland Raiders 2016",455,465,1986,2004,4.36483516483516,4.30967741935484
"315","Minnesota Vikings 2016",380,404,1205,1711,3.17105263157895,4.23514851485149
"316","Chicago Bears 2016",380,445,1735,1950,4.56578947368421,4.38202247191011
"317","Green Bay Packers 2016",433,447,1962,1824,4.53117782909931,4.08053691275168
"318","Cincinnati Bengals 2016",446,412,1769,1812,3.96636771300448,4.39805825242718
"319","Miami Dolphins 2016",427,499,1876,2426,4.39344262295082,4.86172344689379
"320","Tampa Bay Buccaneers 2016",453,427,1616,1875,3.5673289183223,4.39110070257611
